iter	Passed	Remaining
0	50	20192
1	51	10223
2	51	6875
3	52	5202
4	53	4201
5	53	3529
6	54	3056
7	55	2696
8	55	2415
9	56	2191
10	56	2010
11	57	1857
12	58	1727
13	58	1616
14	59	1521
15	59	1436
16	60	1362
17	61	1295
18	61	1235
19	62	1183
20	62	1135
21	63	1091
22	64	1051
23	64	1014
24	65	980
25	65	949
26	66	919
27	67	892
28	67	866
29	68	843
30	69	821
31	69	800
32	70	781
33	70	763
34	71	745
35	72	728
36	72	712
37	73	697
38	73	684
39	74	670
40	75	657
41	75	644
42	76	632
43	76	621
44	77	610
45	78	600
46	78	590
47	79	580
48	79	571
49	80	563
50	81	554
51	81	546
52	82	538
53	82	531
54	83	523
55	84	516
56	84	509
57	85	502
58	85	496
59	86	489
60	87	483
61	88	480
62	88	474
63	89	469
64	89	463
65	90	458
66	91	452
67	91	447
68	92	442
69	92	437
70	93	433
71	94	428
72	94	424
73	95	419
74	95	415
75	96	411
76	97	407
77	97	403
78	98	399
79	98	395
80	99	391
81	100	387
82	100	384
83	101	381
84	101	377
85	102	374
86	103	370
87	103	367
88	103	363
89	104	359
90	104	356
91	105	353
92	106	350
93	106	347
94	107	345
95	108	342
96	108	339
97	109	336
98	109	333
99	110	330
100	110	327
101	111	324
102	111	321
103	112	319
104	112	315
105	113	313
106	113	311
107	113	308
108	114	305
109	115	303
110	115	301
111	116	298
112	116	296
113	117	294
114	117	291
115	118	289
116	118	287
117	119	285
118	120	283
119	120	281
120	121	279
121	121	277
122	122	275
123	122	273
124	123	270
125	123	269
126	124	266
127	124	264
128	125	262
129	125	261
130	126	259
131	126	257
132	127	255
133	128	254
134	128	252
135	129	251
136	129	249
137	130	247
138	130	245
139	131	244
140	132	242
141	132	241
142	133	239
143	133	237
144	134	236
145	134	234
146	135	232
147	136	232
148	137	231
149	138	230
150	138	228
151	139	226
152	139	225
153	140	224
154	140	222
155	141	221
156	141	219
157	142	218
158	142	216
159	143	214
160	143	213
161	144	212
162	144	210
163	145	209
164	146	207
165	146	206
166	147	205
167	147	204
168	148	202
169	148	201
170	149	200
171	150	199
172	150	197
173	151	196
174	151	195
175	152	193
176	152	192
177	153	191
178	153	189
179	154	188
180	154	187
181	155	186
182	155	184
183	156	183
184	157	182
185	157	181
186	158	180
187	158	179
188	159	177
189	159	176
190	160	175
191	161	174
192	161	173
193	162	172
194	162	171
195	163	170
196	163	168
197	164	167
198	165	166
199	165	165
200	166	164
201	167	164
202	168	163
203	168	161
204	169	160
205	169	159
206	170	158
207	170	157
208	171	156
209	171	155
210	172	154
211	173	153
212	173	152
213	174	151
214	174	150
215	175	149
216	175	148
217	176	147
218	176	146
219	177	145
220	178	144
221	179	143
222	179	142
223	180	141
224	180	140
225	181	139
226	181	138
227	182	137
228	183	136
229	183	135
230	184	134
231	184	133
232	185	132
233	185	131
234	186	130
235	186	129
236	187	128
237	188	128
238	188	127
239	189	126
240	189	125
241	190	124
242	190	123
243	191	122
244	192	121
245	192	120
246	193	119
247	193	118
248	194	118
249	195	117
250	196	116
251	196	115
252	197	114
253	198	114
254	199	113
255	199	112
256	200	111
257	201	110
258	201	109
259	202	109
260	203	108
261	203	107
262	204	106
263	205	105
264	206	104
265	206	104
266	207	103
267	208	102
268	208	101
269	209	100
270	210	100
271	210	99
272	211	98
273	212	97
274	212	96
275	213	95
276	214	95
277	214	94
278	216	93
279	216	92
280	217	92
281	218	91
282	218	90
283	219	89
284	220	88
285	220	88
286	221	87
287	222	86
288	222	85
289	223	84
290	224	84
291	225	83
292	226	82
293	226	81
294	227	80
295	228	80
296	228	79
297	229	78
298	230	77
299	231	77
300	233	76
301	234	75
302	234	75
303	235	74
304	235	73
305	236	72
306	236	71
307	238	71
308	239	70
309	239	69
310	240	68
311	240	67
312	241	67
313	241	66
314	242	65
315	243	64
316	244	63
317	244	63
318	245	62
319	245	61
320	246	60
321	246	59
322	247	58
323	248	58
324	248	57
325	249	56
326	249	55
327	250	54
328	250	54
329	251	53
330	252	52
331	253	51
332	253	51
333	254	50
334	254	49
335	255	48
336	255	47
337	256	47
338	256	46
339	257	45
340	258	44
341	258	43
342	259	43
343	259	42
344	260	41
345	260	40
346	261	39
347	262	39
348	262	38
349	263	37
350	263	36
351	264	36
352	264	35
353	265	34
354	266	33
355	266	32
356	267	32
357	267	31
358	268	30
359	269	29
360	269	29
361	270	28
362	270	27
363	271	26
364	271	26
365	272	25
366	272	24
367	273	23
368	273	23
369	274	22
370	274	21
371	275	20
372	276	19
373	276	19
374	277	18
375	277	17
376	278	16
377	278	16
378	279	15
379	279	14
380	280	13
381	280	13
382	281	12
383	282	11
384	282	11
385	283	10
386	283	9
387	284	8
388	284	8
389	285	7
390	286	6
391	286	5
392	287	5
393	287	4
394	288	3
395	288	2
396	289	2
397	290	1
398	290	0
399	291	0
